scheduled_e2_time,scheduled_e4a_time,result,e4a_t,e4a_X_P,e4a_X_R,e4a_v_P,e4a_v_R,e4a_phi_P,e4a_phi_R,e4a_F^intra,e4a_F^inter,e4a_L^intra,e4a_L^inter,e4a_tauドットPR,e4a_tauPR,e4a_tauRB,e6_t,e6_X_P,e6_X_R,e6_v_P,e6_v_R,e6_phi_P,e6_phi_R,e6_F^intra,e6_F^inter,e6_L^intra,e6_L^inter,e6_tauドットPR,e6_tauPR,e6_tauRB
7.4,8.1,offered,8.099999999999982,73.80619413637163,83.73447156249915,13.004089718849007,5.3349593749999995,0.23169365252409246,2.2961115306924413,4.684185267418487,0.560621810295251,2.4851152652323365,0.9977090281247407,-1.645485937629667,1.2895557014493593,4.923285556884086,9.600000000000056,90.72012770559917,91.07582604959691,9.294233972134665,5.222579110873674,3.1468276904201367,4.71238898038469,4.44410613038442,0,2.2646000346596535,0.9235016371866606,0.10425078413913547,0.08735965009754897,3.623530357060939
7.4,8.117,offered,8.133333333333317,74.24028695190145,83.91230354166578,13.071415416169902,5.3349593749999995,0.7817600586108238,2.704649475353014,4.676277330077688,0.5975650208106812,2.492041631006004,0.9945810502029543,-1.2942108245244022,1.246822552101139,4.88995222355076,9.600000000000056,90.72012770559917,91.07582604959691,9.294233972134665,5.222579110873674,3.1468276904201367,4.71238898038469,4.44410613038442,0,2.2646000346596535,0.9235016371866606,0.10425078413913547,0.08735965009754897,3.623530357060939
7.4,8.133,offered,8.133333333333317,74.24028695190145,83.91230354166578,13.071415416169902,5.3349593749999995,0.7817600586108238,2.704649475353014,4.676277330077688,0.5975650208106812,2.492041631006004,0.9945810502029543,-1.2942108245244022,1.246822552101139,4.88995222355076,9.600000000000056,90.72012770559917,91.07582604959691,9.294233972134665,5.222579110873674,3.1468276904201367,4.71238898038469,4.44410613038442,0,2.2646000346596535,0.9235016371866606,0.10425078413913547,0.08735965009754897,3.623530357060939
7.4,8.15,offered,8.149999999999984,74.45814387550428,84.00121953124909,13.096143809659331,5.3349593749999995,1.057897798373184,2.9089184476833005,4.6722729434882515,0.6117874131380948,2.495500980043619,0.9931570299069444,-1.2120101480049161,1.2266223829677236,4.873285556884097,9.600000000000056,90.72012770559917,91.07582604959691,9.294233972134665,5.222579110873674,3.1468276904201367,4.71238898038469,4.44410613038442,0,2.2646000346596535,0.9235016371866606,0.10425078413913547,0.08735965009754897,3.623530357060939
7.4,8.167,offered,8.18333333333332,74.894988470989,84.17905151041572,13.12640410553565,5.3349593749999995,1.6116151655272857,3.3174563923438734,4.664185538764331,0.630823532112331,2.5023767296181725,0.9906639718424504,-1.0912058326100693,1.1891802324302727,4.839952223550772,9.600000000000056,90.72012770559917,91.07582604959691,9.294233972134665,5.222579110873674,3.1468276904201367,4.71238898038469,4.44410613038442,0,2.2646000346596535,0.9235016371866606,0.10425078413913547,0.08735965009754897,3.623530357060939
7.4,8.183,offered,8.18333333333332,74.894988470989,84.17905151041572,13.12640410553565,5.3349593749999995,1.6116151655272857,3.3174563923438734,4.664185538764331,0.630823532112331,2.5023767296181725,0.9906639718424504,-1.0912058326100693,1.1891802324302727,4.839952223550772,9.600000000000056,90.72012770559917,91.07582604959691,9.294233972134665,5.222579110873674,3.1468276904201367,4.71238898038469,4.44410613038442,0,2.2646000346596535,0.9235016371866606,0.10425078413913547,0.08735965009754897,3.623530357060939
7.4,8.2,offered,8.199999999999987,75.11376187274794,84.26796749999903,13.131450849831067,5.3349593749999995,1.8888611921565763,3.5217253646741598,4.660111935830412,0.6353939034227234,2.5057786672287845,0.9896065329056024,-1.0287194684240042,1.1720349079565393,4.823285556884109,9.600000000000056,90.72012770559917,91.07582604959691,9.294233972134665,5.222579110873674,3.1468276904201367,4.71238898038469,4.44410613038442,0,2.2646000346596535,0.9235016371866606,0.10425078413913547,0.08735965009754897,3.623530357060939
7.4,8.217,offered,8.233333333333322,75.55144463751668,84.44579947916566,13.120529447649409,5.3349593749999995,2.4432534631108194,3.9302633093347326,4.651929389690097,0.6343864884389953,2.512474218298961,0.9878628102386908,-0.9054412697680858,1.1408372190656095,4.789952223550783,9.600000000000056,90.72012770559917,91.07582604959691,9.294233972134665,5.222579110873674,3.1468276904201367,4.71238898038469,4.44410613038442,0,2.2646000346596535,0.9235016371866606,0.10425078413913547,0.08735965009754897,3.623530357060939
7.4,8.233,offered,8.233333333333322,75.55144463751668,84.44579947916566,13.120529447649409,5.3349593749999995,2.4432534631108194,3.9302633093347326,4.651929389690097,0.6343864884389953,2.512474218298961,0.9878628102386908,-0.9054412697680858,1.1408372190656095,4.789952223550783,9.600000000000056,90.72012770559917,91.07582604959691,9.294233972134665,5.222579110873674,3.1468276904201367,4.71238898038469,4.44410613038442,0,2.2646000346596535,0.9235016371866606,0.10425078413913547,0.08735965009754897,3.623530357060939
7.4,8.25,offered,8.24999999999999,75.77012012831085,84.53471546874897,13.104535574789514,5.3349593749999995,2.720044315232243,4.1345322816650185,4.647830453297228,0.6288585499830421,2.5157533388814137,0.9871702934955771,-0.8462583715568828,1.1267329128729948,4.77328555688412,9.600000000000056,90.72012770559917,91.07582604959691,9.294233972134665,5.222579110873674,3.1468276904201367,4.71238898038469,4.44410613038442,0,2.2646000346596535,0.9235016371866606,0.10425078413913547,0.08735965009754897,3.623530357060939
