t,xP,xR,vP,vR,phiP,phiR,F^intra,F^inter,L^intra,L^inter,tauドットPR,tauPR,tauRB,e2,e4a,e4b,e5,e6,e7,e8
4.666666666666655,34.525194036499556,80,11.101925319698589,,0.06534671,0,4.525713429852542,0,2.4530773969177972,1,,,,0,0,0,0,0,0,0
4.683333333333322,34.71022612516123,80,11.107461005036305,,0.30231251144327353,0,4.5240780760845185,0,2.4551877350997326,1,,,,0,0,0,0,0,0,0
4.699999999999989,34.89535047524515,80,11.11283910200947,,0.5391926855781697,0,4.522545562143781,0,2.4572088770161007,1,,,,0,0,0,0,0,0,0
4.716666666666655,35.08056446027865,80,11.118071416937783,,0.7759926174707701,0,4.521115770528542,0,2.4591432693257533,1,,,,0,0,0,0,0,0,0
4.733333333333322,35.265865650560954,80,11.123169732696123,,1.0127176856494606,0,4.519788575738089,0,2.460993373098141,1,,,,0,0,0,0,0,0,0
4.7499999999999885,35.45125181277257,80,11.128145809028274,,1.2493732620714249,0,4.518563844855087,0,2.4627616630224156,1,,,,0,0,0,0,0,0,0
4.766666666666655,35.63672090958971,80,11.133011383070563,,1.4859647117343113,0,4.517441438122915,0,2.4644506266574973,1,,,,0,0,0,0,0,0,0
4.783333333333322,35.82227109930756,80,11.137778170082074,,1.722497392318129,0,4.516421209518024,0,2.4660627637231953,1,,,,0,0,0,0,0,0,0
4.799999999999988,36.00790073547557,80,11.14245786437813,,1.9589766538571116,0,4.515503007317256,0,2.467600585432468,1,,,,0,0,0,0,0,0,0
4.816666666666655,36.19360836654852,80,11.147062140463945,,2.195407838441287,0,4.514686674660125,0,2.4690666138648742,1,,,,0,0,0,0,0,0,0
4.8333333333333215,36.37939273555622,80,11.151602654365552,,2.431796279947487,0,4.513972050106073,0,2.4704633813812613,1,,,,0,0,0,0,0,0,0
4.849999999999988,36.56525277979563,80,11.15609105,,2.668147303799535,0,4.513358968186717,0,2.4717934300797175,1,,,,0,0,0,0,0,0,0
4.866666666666655,36.75118763,80,11.160538936669344,,2.9044662267573518,0,4.512847259953147,0,2.473059311292803,1,,,,0,0,0,0,0,0,0
4.883333333333321,36.93719661282603,80,11.164957939414942,,3.1407583567347124,0,4.512436753518329,0,2.4742635851260784,1,,,,0,0,0,0,0,0,0
4.899999999999988,37.123279245149604,80,11.169359652665406,,3.3770289926454082,0,4.512127274594702,0,2.475408820037924,1,,,,0,0,0,0,0,0,0
4.9166666666666545,37.30943523936071,80,11.173755666740892,,3.6132834242775558,0,4.511918647027059,0,2.4764975924606647,1,,,,0,0,0,0,0,0,0
